game,max_prize,card_price,expected_payout,payout_ratio
Easy $500,$500,10,8.019226325640933,0.8019226325640932
"Easy as... 1, 2, 3","$50,000",2,1.4581682331369124,0.7290841165684562
Electric 8s,"$8,000",1,0.699678589984837,0.699678589984837
Emerald 8s,$1 million,5,3.918621921075021,0.7837243842150042
Fang-Tastic Fortune,"$100,000",5,3.8245154555133434,0.7649030911026686
Gem Mine 50X,$1 million,5,3.8887943257924933,0.7777588651584987
Green and Gold,$1 million,5,3.9091389189577246,0.7818277837915449
High Voltage Cash,$1 million,5,3.926067435840088,0.7852134871680176
"Hit $1,000!",$4 million,10,8.39239728743532,0.839239728743532
Holiday Winnings Blowout!,$500,10,8.020336627158631,0.8020336627158631
Lots of Luck,"$10,000",1,0.6995588529323556,0.6995588529323556
Luck of the Irish Tripler,"$10,000",1,0.6996287395389881,0.6996287395389881
Lucky 7s 2020,"$10,000",1,0.6996382149060111,0.6996382149060111
Lucky 9s,"$10,000",1,0.6996313979762898,0.6996313979762898
Lucky Dog,"$100,000",2,1.4578738536299551,0.7289369268149776
Make My Month,$1 million,5,3.9054565484738983,0.7810913096947797
Merry Money Blowout,$500,10,8.020336627158631,0.8020336627158631
Power 7s,"$100,000",2,1.4577750754325909,0.7288875377162954
Power Play Cashword,"$50,000",2,1.4592375522434031,0.7296187761217016
Red Ball Tripler,"$100,000",2,1.4580641235545642,0.7290320617772821
"Red Hot $100,000","$100,000",2,1.4581310274791097,0.7290655137395549
Road to Riches,$1 million,5,3.904943152731754,0.7809886305463508
Supreme Millions,$15 million,30,25.342569049988708,0.8447523016662902
"The Fastest Road to $1,000,000",$1 million,30,25.59283319038026,0.8530944396793421
The State of Winning,"$100,000",2,1.4580730486162585,0.7290365243081293
Treasure Hunt,"$250,000",5,3.8264389554136486,0.7652877910827297
Triple 777,"$100,000",2,1.458618589205569,0.7293092946027845
Ultimate Millions,$15 million,30,25.342569049988708,0.8447523016662902
Wild Doubler,"$10,000",1,0.6995588529323556,0.6995588529323556
Winter Winnings Cashword,"$50,000",2,1.4576141875968567,0.7288070937984283
